sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03858-A-mifish	e03858-A-mifish	1	e03858-A-mifish_S89_L001_R1_001.fastq.gz	e03858-A-mifish_S89_L001_R2_001.fastq.gz	160	160	150	150	12	12	4	4	4
e03858-B-mifish	e03858-B-mifish	1	e03858-B-mifish_S185_L001_R1_001.fastq.gz	e03858-B-mifish_S185_L001_R2_001.fastq.gz	6	6	2	2	2	2	0	0	0
e03858-C-mifish	e03858-C-mifish	1	e03858-C-mifish_S281_L001_R1_001.fastq.gz	e03858-C-mifish_S281_L001_R2_001.fastq.gz	8	8	7	7	6	6	2	2	2
NTC-1-A-mifish	NTC-1-A-mifish	1	NTC-1-A-mifish_S90_L001_R1_001.fastq.gz	NTC-1-A-mifish_S90_L001_R2_001.fastq.gz	10	10	1	1	1	1	0	0	0
NTC-1-B-mifish	NTC-1-B-mifish	1	NTC-1-B-mifish_S186_L001_R1_001.fastq.gz	NTC-1-B-mifish_S186_L001_R2_001.fastq.gz	2076	2076	1879	1879	16	16	0	0	0
NTC-1-C-mifish	NTC-1-C-mifish	1	NTC-1-C-mifish_S282_L001_R1_001.fastq.gz	NTC-1-C-mifish_S282_L001_R2_001.fastq.gz	8	8	3	3	2	2	1	1	1
NTC-2-A-mifish	NTC-2-A-mifish	1	NTC-2-A-mifish_S91_L001_R1_001.fastq.gz	NTC-2-A-mifish_S91_L001_R2_001.fastq.gz	40	40	35	35	35	35	30	30	30
NTC-2-B-mifish	NTC-2-B-mifish	1	NTC-2-B-mifish_S187_L001_R1_001.fastq.gz	NTC-2-B-mifish_S187_L001_R2_001.fastq.gz	1787	1787	1679	1679	38	38	28	28	28
NTC-2-C-mifish	NTC-2-C-mifish	1	NTC-2-C-mifish_S283_L001_R1_001.fastq.gz	NTC-2-C-mifish_S283_L001_R2_001.fastq.gz	30	30	27	27	23	23	21	21	21
NTC-3-A-mifish	NTC-3-A-mifish	1	NTC-3-A-mifish_S92_L001_R1_001.fastq.gz	NTC-3-A-mifish_S92_L001_R2_001.fastq.gz	3	3	3	3	2	2	1	1	1
NTC-3-B-mifish	NTC-3-B-mifish	1	NTC-3-B-mifish_S188_L001_R1_001.fastq.gz	NTC-3-B-mifish_S188_L001_R2_001.fastq.gz	16	16	5	5	4	4	0	0	0
NTC-3-C-mifish	NTC-3-C-mifish	1	NTC-3-C-mifish_S284_L001_R1_001.fastq.gz	NTC-3-C-mifish_S284_L001_R2_001.fastq.gz	3	3	3	3	3	3	3	3	3
NTC-4-A-mifish	NTC-4-A-mifish	1	NTC-4-A-mifish_S93_L001_R1_001.fastq.gz	NTC-4-A-mifish_S93_L001_R2_001.fastq.gz	2	2	2	2	2	2	1	1	1
NTC-4-B-mifish	NTC-4-B-mifish	1	NTC-4-B-mifish_S189_L001_R1_001.fastq.gz	NTC-4-B-mifish_S189_L001_R2_001.fastq.gz	11	11	2	2	1	1	0	0	0
NTC-4-C-mifish	NTC-4-C-mifish	1	NTC-4-C-mifish_S285_L001_R1_001.fastq.gz	NTC-4-C-mifish_S285_L001_R2_001.fastq.gz	1	1	1	1	1	1	1	1	1
NTC-5-A-mifish	NTC-5-A-mifish	1	NTC-5-A-mifish_S94_L001_R1_001.fastq.gz	NTC-5-A-mifish_S94_L001_R2_001.fastq.gz	1	1	0	0	0	0	0	0	0
NTC-5-B-mifish	NTC-5-B-mifish	1	NTC-5-B-mifish_S190_L001_R1_001.fastq.gz	NTC-5-B-mifish_S190_L001_R2_001.fastq.gz	14	14	1	1	1	1	0	0	0
NTC-5-C-mifish	NTC-5-C-mifish	1	NTC-5-C-mifish_S286_L001_R1_001.fastq.gz	NTC-5-C-mifish_S286_L001_R2_001.fastq.gz	1	1	0	0	0	0	0	0	0
NTC-6-A-mifish	NTC-6-A-mifish	1	NTC-6-A-mifish_S95_L001_R1_001.fastq.gz	NTC-6-A-mifish_S95_L001_R2_001.fastq.gz	2	2	1	1	1	1	0	0	0
NTC-6-B-mifish	NTC-6-B-mifish	1	NTC-6-B-mifish_S191_L001_R1_001.fastq.gz	NTC-6-B-mifish_S191_L001_R2_001.fastq.gz	32	32	0	0	0	0	0	0	0
NTC-6-C-mifish	NTC-6-C-mifish	1	NTC-6-C-mifish_S287_L001_R1_001.fastq.gz	NTC-6-C-mifish_S287_L001_R2_001.fastq.gz	1	1	0	0	0	0	0	0	0
NTC-7-A-mifish	NTC-7-A-mifish	1	NTC-7-A-mifish_S96_L001_R1_001.fastq.gz	NTC-7-A-mifish_S96_L001_R2_001.fastq.gz	9	9	2	2	0	0	0	0	0
NTC-7-B-mifish	NTC-7-B-mifish	1	NTC-7-B-mifish_S192_L001_R1_001.fastq.gz	NTC-7-B-mifish_S192_L001_R2_001.fastq.gz	11	11	1	1	0	0	0	0	0
NTC-7-C-mifish	NTC-7-C-mifish	1	NTC-7-C-mifish_S288_L001_R1_001.fastq.gz	NTC-7-C-mifish_S288_L001_R2_001.fastq.gz	1	1	0	0	0	0	0	0	0
