sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03847-C-rkfish	e03847-C-rkfish	1	e03847-C-rkfish_S558_L001_R1_001.fastq.gz	e03847-C-rkfish_S558_L001_R2_001.fastq.gz	5320	5320	5091	5091	3531	3531	125	125	125
e03848-A-rkfish	e03848-A-rkfish	1	e03848-A-rkfish_S367_L001_R1_001.fastq.gz	e03848-A-rkfish_S367_L001_R2_001.fastq.gz	7942	7942	7569	7569	3173	3173	970	970	970
e03848-B-rkfish	e03848-B-rkfish	1	e03848-B-rkfish_S463_L001_R1_001.fastq.gz	e03848-B-rkfish_S463_L001_R2_001.fastq.gz	4952	4952	4654	4654	2358	2358	381	381	381
e03848-C-rkfish	e03848-C-rkfish	1	e03848-C-rkfish_S559_L001_R1_001.fastq.gz	e03848-C-rkfish_S559_L001_R2_001.fastq.gz	6060	6060	5790	5790	2746	2746	1549	1549	1549
e03849-A-rkfish	e03849-A-rkfish	1	e03849-A-rkfish_S368_L001_R1_001.fastq.gz	e03849-A-rkfish_S368_L001_R2_001.fastq.gz	6745	6745	6543	6543	5709	5709	0	0	0
e03849-B-rkfish	e03849-B-rkfish	1	e03849-B-rkfish_S464_L001_R1_001.fastq.gz	e03849-B-rkfish_S464_L001_R2_001.fastq.gz	6253	6253	5901	5901	4039	4039	127	127	127
e03849-C-rkfish	e03849-C-rkfish	1	e03849-C-rkfish_S560_L001_R1_001.fastq.gz	e03849-C-rkfish_S560_L001_R2_001.fastq.gz	5301	5301	5183	5183	4867	4867	0	0	0
e03850-A-rkfish	e03850-A-rkfish	1	e03850-A-rkfish_S369_L001_R1_001.fastq.gz	e03850-A-rkfish_S369_L001_R2_001.fastq.gz	6245	6245	6041	6041	3852	3852	263	263	263
e03850-B-rkfish	e03850-B-rkfish	1	e03850-B-rkfish_S465_L001_R1_001.fastq.gz	e03850-B-rkfish_S465_L001_R2_001.fastq.gz	4758	4758	4499	4499	2626	2626	70	70	70
e03850-C-rkfish	e03850-C-rkfish	1	e03850-C-rkfish_S561_L001_R1_001.fastq.gz	e03850-C-rkfish_S561_L001_R2_001.fastq.gz	5492	5492	5283	5283	3457	3457	94	94	94
e03851-A-rkfish	e03851-A-rkfish	1	e03851-A-rkfish_S370_L001_R1_001.fastq.gz	e03851-A-rkfish_S370_L001_R2_001.fastq.gz	5428	5428	5312	5312	4090	4090	12	12	12
e03851-B-rkfish	e03851-B-rkfish	1	e03851-B-rkfish_S466_L001_R1_001.fastq.gz	e03851-B-rkfish_S466_L001_R2_001.fastq.gz	5060	5060	4909	4909	3196	3196	125	125	125
e03851-C-rkfish	e03851-C-rkfish	1	e03851-C-rkfish_S562_L001_R1_001.fastq.gz	e03851-C-rkfish_S562_L001_R2_001.fastq.gz	6683	6683	6526	6526	4804	4804	13	13	13
e03852-A-rkfish	e03852-A-rkfish	1	e03852-A-rkfish_S371_L001_R1_001.fastq.gz	e03852-A-rkfish_S371_L001_R2_001.fastq.gz	6754	6754	6614	6614	5763	5763	0	0	0
